"mvbcf_1k_pehe1","mvbcf_1k_pehe2","mvbcf_0.5k_pehe1","mvbcf_0.5k_pehe2","mvbcf_0.25k_pehe1","mvbcf_0.25k_pehe2","mvbcf_0.1k_pehe1","mvbcf_0.1k_pehe2","mvbcf_0.05k_pehe1","mvbcf_0.05k_pehe2","mvbcf_1k_tau_951","mvbcf_1k_tau_952","mvbcf_0.5k_tau_951","mvbcf_0.5k_tau_952","mvbcf_0.25k_tau_951","mvbcf_0.25k_tau_952","mvbcf_0.1k_tau_951","mvbcf_0.1k_tau_952","mvbcf_0.05k_tau_951","mvbcf_0.05k_tau_952","mvbcf_1k_tau_951w","mvbcf_1k_tau_952w","mvbcf_0.5k_tau_951w","mvbcf_0.5k_tau_952w","mvbcf_0.25k_tau_951w","mvbcf_0.25k_tau_952w","mvbcf_0.1k_tau_951w","mvbcf_0.1k_tau_952w","mvbcf_0.05k_tau_951w","mvbcf_0.05k_tau_952w"
9.46849236366744,11.1081660905974,9.7680129191031,11.9497310759475,9.42396732118469,13.4792677182483,10.5216210230859,12.2870717922175,12.842147536604,13.7499903677999,0.977,0.941,0.96,0.879,0.968,0.765,0.906,0.805,0.828,0.748,38.8339621339396,39.6963702212854,40.728871369524,38.7091703275917,39.2242295651942,35.6797712929671,37.2106006978566,37.487520154582,34.8154744932597,34.0820533094153
7.83918119515965,5.17201037083382,10.2778900895833,4.03994627627688,8.66635423341679,7.64224820338782,13.2531104634402,6.74169319391612,9.50993441045768,9.05658472906352,0.995,1,0.95,1,0.987,0.998,0.807,1,0.918,0.972,36.9333705601072,43.7747778312291,41.8386497581975,43.0524568800288,40.2684960763871,42.3424842581063,37.0774551529179,40.4439426025075,39.5085766342184,41.2068845744147
7.45726354995326,6.80139534907676,9.43055603298412,6.14552555041354,10.1921820854449,7.48171683037913,7.41926637351858,8.34854079679139,7.82329155082383,6.72750569402973,1,1,0.924,1,0.9,0.996,0.96,0.934,0.946,0.986,40.2112783791808,41.5829262143849,35.8258422084887,39.4972174357839,34.1140063561333,37.4274035668564,32.5596576672468,32.4514602056034,32.7110749611353,36.5270557012888
11.1406947556834,8.13563194148682,12.5069655932318,8.96313752728307,10.0665616107081,8.7677762903465,10.8356446039704,9.45666876500786,11.9271132945187,10.6966156533455,0.983,0.998,0.929,0.994,0.949,0.959,0.915,0.951,0.959,0.872,48.9019622328201,39.3040525435344,45.0114235489163,41.5460999784241,37.4204139941233,34.4366527959853,41.6999995299153,37.6009457724708,50.44350118901,37.1822513485473
5.76340208112962,6.47954898782824,5.97353453539352,7.36529098377928,6.13591696620035,7.65136902594426,7.09605408984912,7.42033536402067,7.21909246071013,9.74736790424794,1,1,1,0.999,1,0.998,0.98,0.964,0.992,0.887,39.7173250460333,38.2641315434185,38.810988547986,34.7671365394937,36.2521663367268,34.8317143575556,32.0350091832344,31.9849031068533,35.353582674904,30.164221175528
8.3147898128345,7.18449208310995,8.8723946453539,9.49639124318813,10.4535777065682,7.91786452964531,9.8829526266356,6.65995261050303,9.32740052507293,15.7274119800127,1,1,0.997,0.974,0.916,0.989,0.977,0.984,0.931,0.684,41.8579391671717,42.54706089505,38.3875352854154,40.5651758252123,38.6764713828045,36.4602108977061,38.6733483091132,32.9448387580726,32.4245973565325,33.8366050972452
6.82268917028766,8.65946430894587,6.82730580879495,8.62643869546316,6.55841058482682,8.66095381383267,5.66593816100498,7.75530114430983,9.49755516537794,10.5375512498779,1,0.973,0.999,1,1,0.946,1,0.979,0.907,0.93,40.0104793310305,36.7452085613135,36.3982656646653,40.6324851080987,35.4807297314188,33.7323660891639,40.2002568354626,34.6410628122524,35.0352236142235,42.7347978790875
7.91896124135085,14.3812461085733,8.38644455257476,16.6266207234579,8.21758847969103,14.7434205548738,8.66040622601536,11.3884931041065,9.73432829468596,15.9093185853864,0.991,0.764,0.981,0.674,0.969,0.819,0.95,0.828,0.94,0.715,35.4811748130255,39.44398185728,34.7060977564528,38.2730688241478,35.2419220479775,41.5468487721254,29.4553824292336,33.3272852504627,42.6021396417751,36.8334642949916
8.58112358556888,4.81791046373215,7.64849515894482,5.48020333875157,7.90098411852236,7.17159877219996,7.58605826976496,6.81593807502464,9.50097938561636,9.74234203293047,1,1,0.999,1,0.999,0.985,0.983,0.987,0.955,0.908,42.844929098249,42.3826642004522,36.7458647211099,36.501276496445,43.6702477218032,39.1804064562294,34.4522361963623,37.0836519094836,40.1886170849747,41.8232987867021
8.74029647152625,12.0868100769727,8.6232067620256,11.0125820487694,9.7298098239281,9.6690105263346,9.40625634125647,15.9668562505997,12.090803140032,12.7145601749874,0.985,0.901,0.976,0.894,0.918,0.91,0.927,0.611,0.812,0.765,42.0454282161477,39.7728870478684,40.0569003115566,39.210595578375,36.06635209861,33.7649672004385,35.7718026416679,33.4477016880453,40.9774600609214,36.726605739701
