"mvbcf_1k_pehe1","mvbcf_1k_pehe2","mvbcf_0.5k_pehe1","mvbcf_0.5k_pehe2","mvbcf_0.25k_pehe1","mvbcf_0.25k_pehe2","mvbcf_0.1k_pehe1","mvbcf_0.1k_pehe2","mvbcf_0.05k_pehe1","mvbcf_0.05k_pehe2","mvbcf_1k_tau_951","mvbcf_1k_tau_952","mvbcf_0.5k_tau_951","mvbcf_0.5k_tau_952","mvbcf_0.25k_tau_951","mvbcf_0.25k_tau_952","mvbcf_0.1k_tau_951","mvbcf_0.1k_tau_952","mvbcf_0.05k_tau_951","mvbcf_0.05k_tau_952","mvbcf_1k_tau_951w","mvbcf_1k_tau_952w","mvbcf_0.5k_tau_951w","mvbcf_0.5k_tau_952w","mvbcf_0.25k_tau_951w","mvbcf_0.25k_tau_952w","mvbcf_0.1k_tau_951w","mvbcf_0.1k_tau_952w","mvbcf_0.05k_tau_951w","mvbcf_0.05k_tau_952w"
7.77621117905412,8.97489820144293,7.10060642478417,10.3493085821221,8.30240215335236,10.2626374648903,8.11508340260132,10.599446529596,6.46503874647828,11.8374105762065,1,0.992,1,0.903,0.961,0.947,0.917,0.805,0.965,0.745,44.7019599184299,40.1209225928872,40.589950543805,36.6358888261266,36.7694455887056,40.9380330693354,29.5642876454955,29.74066688926,27.2476071849835,30.1617285500722
7.9383170487957,6.92664037176115,10.0881742664474,6.53707426683178,9.99965500335815,6.07306877586843,11.4565937215199,5.26031194524412,12.5193123842468,12.2231168210756,0.999,1,0.971,1,0.897,0.999,0.873,1,0.836,0.824,46.3316189673655,44.7197085559378,42.9599437783413,40.4813744055991,35.8902316760352,40.097304049436,37.9334533308205,36.7333754161079,38.7330748543971,35.001497830548
10.8674412386046,6.25795079683339,9.98268764788584,6.25508843319037,13.0988740361206,7.22053809872344,8.65733938466244,9.95183073761679,13.5108150500927,8.06943390963792,0.939,1,0.949,1,0.847,0.988,0.892,0.939,0.556,0.803,43.210481835505,42.6542623317489,41.0330551911279,39.5785834929122,37.9582443488101,36.3825407109883,31.2383997611139,35.6682524655775,24.9196065068445,24.6790705920251
9.54565149612327,7.59338261003545,8.26883411031362,8.60528455343482,8.6494525888907,8.42408108712186,9.05860850860578,9.5427947028058,15.5797407778325,9.31794915621807,0.996,0.999,0.996,0.996,0.997,0.984,0.995,0.891,0.664,0.91,49.3339074899992,43.4621010339205,48.2409937081935,39.0380680190564,49.1280516076766,38.5107261195024,45.2529933659311,33.3908687361086,35.3584587402255,34.6024727611878
9.61213754169057,8.07319197639021,8.79153127949324,7.76468844853135,9.3064822580371,7.86891466408953,13.2898377222809,7.01733366540876,11.251432953037,7.42214920847795,0.984,0.993,0.968,0.996,0.97,0.975,0.71,0.892,0.832,0.948,40.0781911921396,32.8004146404489,38.2151703247631,33.7880941904808,38.9091841828373,32.676797923588,28.1765659483474,24.6817300069177,34.1255584818352,30.2836151218083
7.4112186962677,7.81903558308493,9.11741074894578,7.18597357068161,8.51328828416132,10.0860959125504,7.49967123209123,8.33978748633657,9.12444700087227,9.13809305145928,1,1,0.99,1,0.99,0.938,0.959,0.983,0.939,0.919,42.4903266397224,44.1137091839623,47.6192324821199,44.8685544535012,41.6301944773058,36.7957225140588,33.3669852092475,34.285449374902,37.4586918011651,34.1353287067934
5.95651233137114,9.22517837302369,5.96605436651524,9.15321038410292,7.82930329168436,9.13240536679981,7.94024858322844,9.0768951820751,6.35179184453686,10.9832320690309,1,0.975,1,0.96,0.988,0.881,0.965,0.933,0.989,0.768,42.1368781001673,37.3441820982429,42.5264067991805,36.8959119397843,38.8935841624264,29.4974073601312,37.4433986153848,34.5200102124931,28.8970261123244,28.2887429736814
7.19272476939707,14.910797440687,7.84429304935855,12.2846887326659,7.37111430458962,14.6957856916186,8.72569790460582,12.4632490854235,8.5325995142164,18.8168541055921,1,0.778,1,0.889,1,0.762,0.908,0.849,0.943,0.558,40.0947389692999,42.4634015343292,38.0921739321113,39.7227600300506,39.0658155780045,42.9150371452957,31.4496280186191,45.8751940165439,31.8282815966441,33.4280057432756
11.0339049716984,5.23717290780981,11.1565582450411,4.91302171988075,11.0289684199554,4.83593076583832,11.9824253333311,6.88555740782498,11.17147384452,5.53836055628705,0.945,1,0.929,1,0.952,1,0.86,0.985,0.753,0.993,41.5638819951963,42.9183415671066,40.7662816178559,39.7366250290612,42.5699937965578,36.7831687387952,38.1021547913607,34.0823287718722,28.6902478191359,35.6414327662436
10.2235169306288,12.351329625041,8.75458127980202,12.0623853563709,9.33856113838538,13.4806091137825,10.9148769226932,12.5245769718271,11.084493424609,10.8869598661932,0.965,0.86,0.961,0.838,0.946,0.797,0.863,0.717,0.878,0.852,41.3239509447144,39.1772536271495,35.3677519516272,36.8769200959087,39.5148532217329,36.7725542318407,35.4824043584996,31.6762435184612,37.8263477576632,35.9641880211354
9.53661756642201,11.5890546925796,14.4588590948988,12.0898221627619,10.3704925059288,9.69011825737149,10.0225421537392,12.0939640960138,10.153826637154,17.3697736966165,0.999,0.887,0.872,0.865,0.98,0.876,0.884,0.829,0.898,0.536,45.6066557691337,38.2980475251211,42.4109720448685,38.2484400175498,41.0884306621269,33.1913514668638,36.9788153800499,35.6714029511227,36.1133745766665,30.9569103434457
7.08398323994036,10.5270874154046,7.91336204494459,10.1536792278557,7.41202820273729,9.82146207697833,7.7919317505105,9.93713932665372,7.28049133498626,9.67251506322089,1,0.881,0.99,0.921,0.995,0.901,0.969,0.943,0.939,0.849,39.0311578734389,33.4217500972385,39.3566077681082,36.8884069846487,37.4041501660939,31.899957635704,36.3985527137058,36.0880524576162,32.062573220418,30.2994338032737
7.93843523155529,15.510866262679,8.05268606583231,16.9754082273236,6.30340276759647,16.3813592313758,6.245257317236,18.7486886533182,7.98633498069036,20.0395422707244,0.997,0.681,0.992,0.611,0.999,0.691,1,0.457,0.823,0.396,38.5480113411547,35.2605589649736,36.7363177517253,34.9842108414629,40.8938912253836,36.4890852981637,34.5835694284031,30.9466954749539,24.093890416961,27.5388160815196
8.45582185428278,8.45764993020378,8.49004933005924,8.99547340846661,8.74277933555857,8.94822047007149,7.40776129196471,8.57981689327113,7.64735985739374,10.8967912217058,0.996,0.979,0.984,0.967,0.953,0.95,0.963,0.962,0.95,0.701,42.9364656280295,37.8626066947462,40.9313655084404,38.0302565488693,36.8669476923462,33.6200599193214,34.0818402665262,34.97108566596,32.9109492968235,27.0793947665164
19.1249889478116,10.2649660962386,19.5306868530487,9.76018573540859,15.2518303531619,11.5361653638321,18.1265427977972,13.2150140887987,18.9677053186903,12.1234707411133,0.672,0.948,0.643,0.987,0.779,0.937,0.684,0.807,0.348,0.668,41.6798240965615,36.8233617413755,44.0081144337218,43.3911622979488,41.5833585302524,37.4322970316197,45.0130451084134,33.8926954415353,28.2492540707812,25.127263062724
12.1013359061804,9.89259506891186,9.36749963892271,10.3497237949964,10.5561177238531,8.95394689488302,13.3873792366166,7.77131614809523,12.9706610095539,7.14555337127988,0.965,0.995,0.976,0.956,0.97,0.992,0.845,0.933,0.77,0.925,51.0578151474954,44.5744943264446,42.7223377990651,39.3004534227573,45.9408109792153,38.7805138093619,40.6713043931768,33.1126451570993,33.6882850306513,27.1743244025662
13.2675783845394,8.82884386086689,9.77023999199536,7.30272348650455,14.8115969802833,6.64474472224297,10.3923762595033,6.7525985501274,18.7543812317077,12.3725510336374,0.873,0.982,0.991,0.997,0.856,0.992,0.946,0.982,0.741,0.843,44.9089299791046,38.6995368725403,52.0832611196274,40.1563064531394,43.4274960332565,37.2707011260122,38.4632758356588,36.43265788985,40.4380036416054,33.7664626658668
8.33094553316728,11.4496085450396,8.97589344564792,11.8859092239242,8.53201556196025,11.4377302740046,7.93440830937227,13.3702220770131,10.1977638592036,10.5655307623346,0.985,0.935,0.955,0.905,0.946,0.936,0.973,0.809,0.864,0.872,44.5942976744896,43.8059230311979,36.6293890981353,41.3934980466457,35.5651778902256,42.9042298908248,38.9275620076841,38.5492718930434,37.9404734650911,33.6391518600702
10.8101491984351,9.17866968363016,9.46638428806927,9.18366106090621,10.7872508486037,9.00404474934842,14.3386014261464,8.70734686387171,10.5480943480576,9.069478618964,0.927,0.98,0.965,0.973,0.972,0.978,0.744,0.946,0.864,0.862,42.3870195409479,37.2457875525375,43.0065351276297,38.8533715880795,45.8243457955352,39.9508032399932,34.2253410262268,37.4536860097208,32.5351575061528,28.7021202810666
9.17437305558464,9.89980107488109,9.01204737477334,10.2346561350146,9.12064169743419,10.0999667439979,11.0429756038001,11.1208333176644,9.19991609928578,13.9372611483244,0.977,0.962,0.99,0.95,0.962,0.898,0.821,0.849,0.866,0.644,40.9873897341255,43.0376562239061,41.6360246538945,39.4696161522842,35.8054991242729,33.4275212845325,29.3044094380475,34.3155853287526,32.3815438208722,24.9453894623471
9.83842716430407,8.66730916284613,9.15702202558813,9.05698067536632,10.2183337026304,8.77833547024766,10.3640241375393,9.8493233840569,11.5794998999571,10.3895304414114,0.98,0.997,1,0.968,0.948,0.941,0.96,0.81,0.832,0.75,42.644516534376,36.8383969245143,44.9230567713613,33.9973451297152,41.793663110764,34.7534294266132,39.4250770051049,29.3749034003261,30.9655236574726,26.8871575875902
9.37829860155989,6.86779905597689,9.40630986500222,7.66618501648321,11.7631637957691,7.0411681753762,15.9180734481395,6.30854886532269,10.9003940240625,7.77255655367065,1,1,0.981,1,0.937,0.999,0.791,1,0.859,0.958,46.3086655615068,41.6798654073029,41.1436580822822,42.2424930475313,45.990254167315,43.1932349783609,39.5778068556235,38.6572090372034,35.6821012981696,35.5702500976297
8.80335124433831,8.68961834739287,7.15442657689128,8.46579409741091,9.10897182005903,11.3997275722198,8.74043216996426,12.0266868759524,14.0595042093205,10.0414261519426,0.994,0.975,1,0.976,0.96,0.938,0.936,0.917,0.74,0.889,38.1541782089442,36.3412529617237,41.9008101264411,38.0342585645031,34.4380417567494,38.5101916952097,34.097770858884,44.1198833993991,35.6139494056384,35.9672327353465
11.3486634257699,6.62826753992632,7.99004184729493,6.37798305086751,9.26632394336277,7.84452891258741,10.2190863276093,7.36551062403548,10.4217370582263,6.87205951989785,0.946,0.999,0.981,1,0.971,0.972,0.925,0.966,0.894,0.98,38.6994528351322,35.9982211585824,36.055710744703,36.6280146754601,40.4484298985154,36.236219832789,35.2543177723269,32.1279068103567,34.595266755371,31.5563202057922
7.02182300250315,9.78993877719477,6.57563515204662,9.72617551467409,6.52441348249443,9.85918002390742,10.1670021876666,9.24183060701936,7.87750428197847,13.9345011071706,1,0.931,1,0.956,1,0.948,0.932,0.925,0.934,0.801,47.1975216812721,36.5946809184253,46.1343115152957,38.9417668696039,44.3217952430966,39.5346392620145,45.5052674202924,36.516179440627,33.2116427968337,34.0510778758669
7.73085611734552,15.096911710176,8.74935630131531,13.3617558516524,9.00710356597022,15.3981771870549,11.0052058107279,16.7421629335235,7.91936621556765,12.9808372960389,1,0.829,0.99,0.924,0.971,0.679,0.968,0.577,0.925,0.629,45.3587471994509,37.5628514595079,43.6566587986402,39.3389650509506,38.6195199038667,34.0616738215053,46.7651323783951,37.01138725233,33.0617930484167,28.6663202510867
7.22471079472415,9.23996427236289,12.3391495922362,9.35620154175609,8.16834384655622,8.44682716192213,8.12569150433385,9.3840024629277,10.6031230400938,8.91300405168159,1,0.976,0.952,0.982,1,0.985,0.969,0.866,0.885,0.93,45.2442953944553,41.6773098966626,45.2087331996285,37.3068137205695,42.880619362166,41.8351980613626,36.2493858289545,29.8098412995794,29.9730911568648,33.2836490676995
9.44240384355124,5.74947013288704,8.50958530708349,4.01181049834461,8.38520183269623,5.36240350456389,10.9007998985636,7.16839490867076,11.8667923083099,8.9238507979236,0.983,1,0.991,1,0.979,0.997,0.917,0.992,0.76,0.952,41.1226863258075,40.6487214054395,37.7734687175435,38.7563865572917,36.6073345964473,35.060092174143,37.1316431113408,33.7815122623235,30.3227658169848,33.2864181990307
7.45262179732086,9.76887041734428,10.9949979498256,7.98933902425997,10.4993225790632,8.12148760666115,11.9694906577257,8.61645830135148,11.9894435348575,8.60051213857497,1,0.941,0.966,0.98,0.929,0.994,0.861,0.96,0.802,0.929,48.8449748940512,39.3166506795146,49.4775456017856,39.6177070804189,41.4834181967922,39.7257054414657,38.2976699763178,36.674063406842,37.7366267581671,33.3051605759051
9.44827290364365,5.40412903951423,8.64802505099958,5.78377588752554,9.31019174675211,6.40897776041457,7.80919595005868,6.86565321473387,8.78156245269538,7.28410942051391,0.999,1,0.998,1,0.988,1,0.981,0.983,0.974,0.997,47.634460333892,47.2565601510081,47.717860959765,43.8711970370088,44.1260119081682,42.4782514453825,38.1531436390559,37.6659231410068,43.5853953205139,38.9972060140119
9.77071426592891,16.7926124163175,10.4384496186665,17.8149387242193,9.12839715096796,16.145855114625,7.07072416089932,18.3161618995971,7.97835844359516,17.80112301798,0.985,0.745,0.934,0.648,0.982,0.835,0.99,0.532,0.928,0.394,44.4506773636329,41.4039857455749,41.8690995084254,38.5444896413467,41.0891528005208,43.0481411299249,39.4868732799271,35.9788491993515,32.3537148214372,25.0071372648178
5.68226038441389,8.92593279154145,7.48857800392448,7.43815702779547,6.64181146493609,8.07957914423565,11.1279623878861,7.7191875530368,11.081023911447,7.42278973799741,1,0.994,0.996,0.987,0.997,0.968,0.935,0.975,0.8,0.972,41.8132937868499,41.6748200237948,36.9424097597183,35.0165900813632,36.1675482220144,35.6021742139036,38.6784326892299,30.6755918836578,26.2159596794691,33.9524128683232
10.653410122545,9.67718202012843,9.08060521691639,8.86826789659259,10.7029991405872,9.92509074430953,12.5094742137096,7.1906505126149,11.5632041217476,9.57925686703178,0.998,0.998,1,0.997,0.972,0.979,0.932,0.985,0.668,0.662,42.2025629423255,39.0836517639809,42.5581338706497,35.6501586756406,42.0830832226517,38.255197812639,44.8346775634806,37.234398356754,25.8422135194609,21.1971861396291
7.71966865694579,12.2762631176361,7.79590955253578,12.5001996814716,8.77745927167287,10.8487833989603,11.3286627554094,11.7363537385615,9.82656333225852,10.9757329181311,0.997,0.974,0.993,0.908,0.974,0.99,0.874,0.908,0.894,0.842,41.4838165725512,40.42501848798,44.0503147154363,37.5444248383246,37.0047940150292,38.0803785158534,36.2322363451769,34.9597837806513,32.3226357391765,34.0886762091722
12.1004135797763,14.8267680188663,12.8810404849687,15.1556116435936,12.2411384785155,17.2536639791721,14.648626559935,13.4409381418003,15.3762406306434,20.31385018046,0.89,0.669,0.798,0.708,0.848,0.615,0.828,0.802,0.657,0.338,39.5750299968088,33.2533491058061,35.6689229713565,35.8256362153029,36.2226079833901,36.0523627753499,42.1886745373004,35.1916593800897,32.7000715955487,29.5311501430618
7.60713480936637,11.1132078172415,11.2069809056775,12.3926079951048,8.456024003685,12.0836901083401,8.57658808050289,13.4150278775428,8.22607494497945,11.596893183563,0.998,0.905,0.951,0.892,0.981,0.849,0.925,0.712,0.933,0.745,42.0453545883513,37.2157100751447,43.2182739900208,38.5996941250218,39.397663279882,35.6848698044033,31.5656280522922,30.3807540915745,31.8936410951891,31.0289485484656
16.6503345521309,8.94204589949018,15.2340446426961,8.99759589359913,14.4021674292982,8.8544220229919,14.3464061439353,9.30721226192199,11.722014010975,9.40676785967017,0.6,0.945,0.778,0.986,0.751,0.914,0.671,0.853,0.659,0.739,33.3181941857756,33.7227191341591,36.8558992341573,36.5437162497937,35.0805816569606,32.3917218884465,32.4724650064113,30.1401253316832,25.2184600044499,25.5865204296434
