"bcf_1k_pehe1","bcf_1k_pehe2","bcf_0.5k_pehe1","bcf_0.5k_pehe2","bcf_0.25k_pehe1","bcf_0.25k_pehe2","bcf_0.1k_pehe1","bcf_0.1k_pehe2","bcf_0.05k_pehe1","bcf_0.05k_pehe2","bcf_1k_tau_951","bcf_1k_tau_952","bcf_0.5k_tau_951","bcf_0.5k_tau_952","bcf_0.25k_tau_951","bcf_0.25k_tau_952","bcf_0.1k_tau_951","bcf_0.1k_tau_952","bcf_0.05k_tau_951","bcf_0.05k_tau_952","bcf_1k_tau_951w","bcf_1k_tau_952w","bcf_0.5k_tau_951w","bcf_0.5k_tau_952w","bcf_0.25k_tau_951w","bcf_0.25k_tau_952w","bcf_0.1k_tau_951w","bcf_0.1k_tau_952w","bcf_0.05k_tau_951w","bcf_0.05k_tau_952w"
38.2254353229101,9.23406126577781,37.7714581137728,9.23928762064842,34.3729136750133,9.4949128182753,33.0980813482117,9.54103777901484,38.3877011535493,9.36920302299416,0.38,0.998,0.274,0.999,0.413,1,0.79,0.991,0.292,0.971,65.4047520720185,42.1165720575839,57.6315121913353,50.3540254190999,64.7647066132576,44.1096410140735,89.2129441394791,46.6050006890003,59.5391918853632,39.7258176234117
44.3134666480967,11.5909818546098,44.264340096708,10.3647857144535,43.7271138989742,12.2140089826703,43.4455496156017,12.1307484044985,45.0277794546654,11.4285943637009,0.128,0.999,0.068,1,0.28,0.998,0.188,1,0.04,0.997,59.671776970334,63.5838319645656,54.4760176905041,66.5062071140224,71.1595664687407,64.8530398906046,71.4227532609679,71.5849828841611,50.9995534562526,61.1020443807612
36.317356106971,9.06824421703844,38.2238547637934,8.24661031991866,34.8178675930269,6.62687018581417,34.1458358813907,7.26133801067758,35.7208604308449,8.3798035649616,0.137,0.98,0.199,0.999,0.388,1,0.491,1,0.171,0.989,52.1391399049818,44.1017765265011,66.4798888528101,50.9502614840546,62.5879908335904,56.2697453572744,68.1658843594,50.8590074219312,51.8677087019899,47.0131161595691
46.2225843729465,9.08337581147932,44.3390702690383,10.318719668662,43.0063454356759,10.1745748856918,50.6749976246182,10.6820384941034,46.1503603116908,10.0778728770501,0.166,0.978,0.151,0.98,0.385,0.97,0.131,0.981,0.179,0.967,62.9154074361718,42.4298340054438,61.3798645893117,43.1404709504253,74.8577962012214,41.1683280618356,136.03231597866,45.4456686806238,64.2455525139047,41.927888453508
37.0601071026892,8.11012515949711,34.4555982402978,8.42272274195337,37.6631290287243,8.27089311359942,31.7712396823454,8.91647460776138,37.4719062309248,8.31301227151073,0.209,0.996,0.463,1,0.376,1,0.57,1,0.205,0.991,57.3352393407091,41.8652898459523,64.5041506478633,42.1692174811972,81.5591176857694,48.2843996009013,68.5327554629204,48.5535630634307,57.2893369966828,39.0671831293206
46.5697345936087,9.24810399043897,45.3420120288011,8.95841318890709,42.460461510017,9.44361996545062,41.5554462327133,9.53951204612709,46.6223110836101,10.1794605475281,0.05,1,0.222,0.999,0.397,1,0.243,1,0.081,1,56.7849643242836,56.8693171752877,68.0658612834036,59.3572709303822,72.9812190502157,59.8783096081735,71.5768421658295,84.3434723418732,56.1282696188766,60.3342197809985
38.8268123585692,9.68678172388574,38.1973764079002,9.34834263828192,36.9469851506916,9.42544073881951,34.076319369437,11.4050861731693,40.3307477732192,9.55303557156947,0.232,0.973,0.191,0.977,0.416,0.98,0.421,0.957,0.085,0.972,57.8659057281802,43.8324296231997,54.464158623133,40.9784087748986,66.9772348479288,38.7738435564569,66.9713313345252,61.9713897642719,52.5230383034657,40.2646096891679
34.877625445401,8.69241734904632,33.6365891985964,9.24084659746702,35.4448264742262,9.01455392740387,37.6659900911136,8.32233052410214,35.325595453283,8.64665998528128,0.128,0.998,0.292,0.994,0.205,0.996,0.437,0.991,0.138,0.998,48.720651800545,47.5910125228355,55.2786806698635,52.0537009963124,67.0250511676025,53.2114396105121,119.030726854588,44.1380387206171,48.6843091551431,49.7579542596883
39.0182597920031,7.91415541920047,37.8914152458721,8.26466959633736,37.4204161544513,8.26124664987226,42.7846757401603,6.99370828677595,39.7055181780479,8.36737519121812,0.337,1,0.299,1,0.348,1,0.214,1,0.278,1,64.5590302319228,55.3811887831361,60.3595360517005,60.5277727218164,63.4557888652772,61.7651932043244,122.684425031253,59.8081657038659,63.9893622005202,54.1409044586648
32.0708385449314,11.7559906676394,31.83868975047,10.4766819650669,34.5761573597284,11.196284020319,26.6044328533159,11.4617200833567,32.0417218655366,10.6195652801621,0.203,0.862,0.382,0.976,0.382,0.968,0.897,0.98,0.302,0.969,47.5243359168659,36.2520145984959,58.7378637121571,44.2330428321216,81.9577630693651,44.0809387347563,72.7180602899163,46.4372159110175,53.9370280771328,44.2738304264959
